197   J0540-7125    lml+98     1.286014595              3  dsb+98     0.7775961516          19  dsb+98     29.41          7  dsb+98     0.55   0.55     ymw17
198   J0542-68      rcl+13     0.42518900              72  rcl+13     2.351895               4  rcl+13     114            5  rcl+13     49.70  48.9     ymw17
199   B0540+23      dls72      0.2459747688901         19  hlk+04     4.06545762605          3  hlk+04     77.7026       10  bkk+16     1.56   1.56     ymw17
200   J0543-6851    mfl+06     0.70895418575            6  mfl+06     1.41052838124         12  mfl+06     131            4  mfl+06     49.70  48.8     ymw17

201   J0544+20      dsm+16     *                        0  *          *                      0  *          56.9           0  dsm+16     1.28   1.28     ymw17
202   J0545-03      kkl+15     1.07393                  2  kkl+15     0.931159              18  kkl+15     67.2           4  kkl+15     2.06   2.06     ymw17
203   J0546+2441    clm+05     2.84385038524            6  clm+05     0.351635938793         8  clm+05     73.81          3  clm+05     1.52   1.52     ymw17
204   J0550+09      dsm+16     1.745                    0  dsm+16         0.573066           0  dsm+16     86.6           0  dsm+16     1.80   1.80     ymw17
205   J0554+3107    pga+13     0.464960965736          16  pga+13     2.15071817570          7  pga+13     *              0  *          *      *        *

206   J0555+3948    bck+13     1.1469058                2  bck+13     0.87191119            16  bck+13     37             0  bck+13     1.09   1.09     ymw17
207   J0555-7056    mfl+06     0.82783808575            7  mfl+06     1.20796568461         11  mfl+06     73.4          16  mfl+06     49.70  48.8     ymw17
208   J0557+1550    skl+15     0.0025563670767829       6  skl+15     391.18012787837        8  skl+15     102.5723       5  skl+15     1.83   1.83     ymw17
209   B0559-57      mlt+78     2.261364513              3  nmc81      0.4422108838           6  nmc81      30             8  nmc81      0.55   0.55     ymw17
210   B0559-05      mlt+78     0.3959691695432          5  hlk+04     2.525449143310         3  hlk+04     80.538         5  hlk+04     2.33   2.33     ymw17

211   J0605+37      rap+12     0.00273                  0  rap+12       366.300366           0  rap+12     21.0           0  rap+12     0.19   0.19     ymw17
